bit_id,effect,support,log_odds,fragment_smiles
1859,-0.2870229002026452,511,0.34518305571655716,CC(C)C
250,-0.28230264521190684,259,0.06272227885085702,CC(C)N
1001,-0.2821581361247676,249,1.25813748673366,cc(O)c(C(N)=O)c(c)O
1413,-0.2814308953694844,233,-0.1474787951611649,CCO
1076,-0.281224152289395,330,0.5437324773727124,CN(C)CCn
1897,-0.2809649990440055,381,0.9850637785121892,CN(C)C(N)=O
957,-0.28024233493829365,294,0.5627005972162582,cc(c)CC(c)N
1311,-0.28000475449171924,143,0.6982664272672849,cc(c)N(Cc)C(C)=O
131,-0.27914265056040044,212,0.5743742558317102,CCCN(c)c
1065,-0.27896293966737273,485,0.5220644344340686,NC(=O)O
419,-0.2783942561357289,621,0.30202680042608243,cc(c)C
1635,0.27883901946363165,236,-1.8050175401758164,CSC
1119,0.27961487171887134,673,0.057640527753649806,CN(C)CCS
1269,0.28342337543239804,329,-1.547038986381546,ccc(c(c)O)[N+](=O)[O-]
936,0.28355384268455275,298,-1.7781720669239967,cc(c)C(=O)OC
1864,0.2836736719742503,191,-0.8914097127562188,CC(C)CN(C)C
1717,0.28414844872803835,1468,-0.6627580373545077,ccc(cc)C(C)(C)O
586,0.28486668728342446,1012,-1.5750031972197855,cc(c)C
1533,0.28651990121459114,166,0.324805573402708,CCOC(C)(C)O
1015,0.2865349101225467,479,-0.023034185126792117,CC1CO1
1433,0.287104612043557,360,0.13056275472607304,CCOC(N)=O
582,0.28784654360930695,409,-0.5888560671251888,cc(c)I
240,0.2882735682327393,200,-1.344081020458801,C=CC(O)c(c)c
224,0.2905735248646133,505,-1.4707634149682876,CC(C)(C)C
1382,0.2910444546757174,521,-1.7607940453646087,cc(C)sc(C)n
818,0.2911408045350079,152,0.04512106432819518,csc(=S)n(c)-c
1666,0.2928370927122099,471,-0.6729614746997097,CN(C)N
1577,0.2928821100358707,192,-1.4329848167745123,NNC(=O)CS
1848,0.2928967534921383,267,-1.0169045888960664,C=CCC
736,0.2989589393393688,2110,-0.23106812624144757,cccc(c)C
1867,0.2990124832551939,566,-0.7192232122797799,C=NN
1571,0.3004831064994544,342,-0.0004387223126913753,cc(c)C(CC)C(N)=O
1160,0.3007359747811633,3128,0.2126673507399497,cc(c)C
963,0.30164738364537946,208,-1.2128592036381445,cc(c)c(CN)c(-c)[nH]
1103,0.30214047822418433,128,-1.9695617260683722,nc[nH]c([nH])=S
2033,0.3082993548193369,1938,-0.7049640644831792,cc(c)C
1993,0.30939268420090915,1141,1.1764532356593294,CCCC(C)N
58,0.3094742141665563,681,0.3980314886957679,ccc(cc)-n(c)c
1899,0.310408334954666,202,-0.19609354182430483,cc(c)C(O)(C(N)=O)c(c)c
909,0.3105097298078414,1004,-0.1928174918958443,cc(c)Br
62,0.3137089638185384,580,-0.7407936174482885,ccc(cc)NC
1418,0.31561629871830377,402,-0.09583269472562783,CCC(O)(CC)CC
471,0.3184766765345235,512,0.04681409003783532,ccc(cc)-c(c)n
1176,0.3199133260856386,564,-1.530967109775072,CC(n)O
861,0.3211859414149565,362,0.13632001685217254,C=CC(=O)N(C)C
1508,0.32363509579683214,2224,-0.24438917689437423,cN(C)CCN
1334,0.3244940535034102,160,-1.2638370406605492,NCO
1588,0.3249069501144626,318,-1.1694095598776286,CC(N)=O
535,0.3258416133515434,341,-1.0288407003512354,ccc([nH]c)c(c)n
510,0.3291770667166576,173,0.17825674659813107,cc(C)n
245,0.3293079513927353,847,-1.071185703989714,CC(N)=O
465,0.3296768484220336,212,-0.7148554055134309,ccoc(c)c
1651,0.33132002951561956,259,-1.5543734030035083,C=C(C)N
107,0.3340673968362826,859,0.9533320035545039,ccc(c(n)=O)c(c)n
1414,0.334969997937165,299,-0.40843491548135624,cc(C)ccn
1974,0.33790572077112024,407,-0.9224124961208227,C=C(C)CO
1164,0.339134657862016,1192,0.47369944108395723,cnn
155,0.3402669003281611,399,-0.04340486293850976,cc(-c)[nH]
819,0.34404606008461025,475,0.2693724087663192,cc(n)n
1211,0.3465021945671647,342,0.16080936114219835,ccc(O)c(c)C
160,0.34755894604745885,524,-0.029256105112234643,C=C(C)CCC
1825,0.3498534020638684,2910,-0.4884181679989754,cc(c)N
665,0.3520132305972239,150,-0.8763916892761703,Cc(n)s
671,0.3528849631726061,122,-1.7947627996250448,CCN(C(C)C)C(C)C
879,0.3591203725312879,1368,-1.1562839560187181,CC(N)=O
504,0.36092071889400534,2285,0.13734373723034832,cc(n)=O
299,0.36239719078889987,221,-1.9671037972972005,cc([N+])c(OC)c(c)n
233,0.36396820810323316,1449,-0.9766496298791814,cccc(c)-n
63,0.3641105515101364,326,-0.9457359602788058,ccc(nc)n(c)c
25,0.37075117412405145,954,-0.7893309059550919,cccc(c)C
1929,0.3776077727996894,335,-0.5977657839183692,cnccs
1210,0.37774390156572757,392,-1.7100143061761406,ccc(cn)CC
1594,0.3806702404275706,474,-1.609153658997557,cc(I)c(C(N)=O)c(c)I
257,0.3816761384002243,299,-0.5219457861648413,cnc(c(c)n)n(c)C
1504,0.38169700123082784,522,-0.8326571407275911,cC(N)=O
217,0.38385892875463234,244,-0.1911065502035436,cc(C)nc(c)s
449,0.3841957239286411,278,-2.073517445587667,ccc(cc)c(c)n
398,0.38428692308517576,406,-1.799540267807,CCC(CN)N(C)C
127,0.38448520394356667,363,0.22259346556431936,cC(C)=CC(C)(C)N
1927,0.3908499885381489,311,-2.262150733505657,cc(c)C=C(C)N
318,0.3974055819144966,1129,-0.11026077047566618,CNN
697,0.39847348344544864,275,-1.7172973166903116,Cc(n)cc(n)=O
1878,0.40965812153119163,292,-0.4336310830660173,cC(c)=N
1490,0.4170976613300694,224,-1.870514911360698,cc(c)C(=O)NC
1235,0.4275321535474439,276,-1.300218050588395,cc(c)n(CC)c(c)n
456,0.4346396663172505,1112,-1.5742343971501507,cC(=O)O
55,0.4580821729927709,126,-0.7992404913585238,ccc(C(c)=O)c(-c)n
281,0.47844027565179825,864,-1.5165481436828672,cnn
947,0.48561198472848455,971,-1.8064579945653656,cc(c)NC(c)=O
661,0.491076154918356,972,-1.847864810172188,ccc(cc)-c(c)[nH]
1223,0.5380182393520645,316,-2.3976356361919966,ccc(c(c)C)C(c)S
2005,0.6233077752442178,478,-2.484139066191986,cc(c)I
1821,0.7179690799093463,300,-2.6413655994591836,C=C(C)N
